ΑΥΓΟΥΣΤΟΣ 2016 ΠΕΡΙΦΕΡΕΙΑ;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ;Ε3 (Αναγγελίες Πρόσληψης);Ε5 (Αναγγελίες Οικειοθελούς Αποχώρησης);Ε6 (Καταγγελίες Συμβάσεων Αορίστου Χρόνου);Ε7 (Λήξεις Συμβάσεων Ορισμένου Χρόνου);ΣΥΝΟΛΟ ΑΠΟΧ/ΣΕΩΝ Ε5+Ε6+Ε7;ΙΣΟΖΥΓΙΟ Ε3 -(Ε5+Ε6+Ε7)
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ, ΘΡΑΚΗΣ;ΔΡΑΜΑΣ;1.152;449;117;416;982;170
;ΕΒΡΟΥ;1.404;949;268;463;1680;-276
;ΘΑΣΟΥ;564;518;137;182;837;-273
;ΚΑΒΑΛΑΣ;2.428;1.457;373;763;2593;-165
;ΞΑΝΘΗΣ;1.760;737;179;547;1463;297
;ΡΟΔΟΠΗΣ;1.323;776;159;411;1346;-23
ΑΤΤΙΚΗΣ;ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;7.344;4.338;998;3774;9110;-1766
;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;7.531;3.755;1030;3054;7839;-308
;ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;1.968;1.507;503;334;2344;-376
;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;3.006;2.228;557;491;3276;-270
;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;14.327;8.500;1900;6217;16617;-2290
;ΝΗΣΩΝ;812;546;107;219;872;-60
;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;6.176;4.634;1130;1451;7215;-1039
;ΠΕΙΡΑΙΩΣ;4.430;2.488;1309;1309;5106;-676
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;ΙΚΑΡΙΑΣ;121;43;16;24;83;38
;ΛΕΣΒΟΥ;1.618;530;140;436;1106;512
;ΛΗΜΝΟΥ;249;220;28;17;265;-16
;ΣΑΜΟΥ;679;297;38;334;669;10
;ΧΙΟΥ;818;624;59;391;1074;-256
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;1.428;688;295;659;1642;-214
;ΑΧΑΪΑΣ;3.788;1.969;603;1845;4417;-629
;ΗΛΕΙΑΣ;1.378;991;326;409;1726;-348
;ΓΡΕΒΕΝΩΝ;186;118;31;72;221;-35
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑ;ΚΑΣΤΟΡΙΑΣ;555;203;84;262;549;6
;ΚΟΖΑΝΗΣ;1.329;588;334;522;1444;-115
;ΦΛΩΡΙΝΑΣ;675;191;80;211;482;193
ΗΠΕΙΡΟΥ;ΑΡΤΑΣ;319;160;111;153;424;-105
;ΘΕΣΠΡΩΤΙΑΣ;948;549;45;464;1058;-110
;ΙΩΑΝΝΙΝΩΝ;1.744;971;271;788;2030;-286
;ΠΡΕΒΕΖΑΣ;772;705;88;430;1223;-451
ΘΕΣΣΑΛΙΑΣ;ΚΑΡΔΙΤΣΑΣ;973;375;95;314;784;189
;ΛΑΡΙΣΑΣ;2.996;1.512;409;1404;3325;-329
;ΜΑΓΝΗΣΙΑΣ;2.748;1.723;452;727;2902;-154
;ΣΠΟΡΑΔΩΝ;426;465;146;102;713;-287
;ΤΡΙΚΑΛΩΝ;1.200;614;214;587;1415;-215
ΙΟΝΙΩΝ ΝΗΣΩΝ;ΖΑΚΥΝΘΟΥ;1.214;872;55;617;1.544;-330
;ΙΘΑΚΗΣ;23;19;2;;21;2
;ΚΕΡΚΥΡΑΣ;1.820;1.031;161;833;2.025;-205
;ΚΕΦΑΛΛΗΝΙΑΣ;623;360;43;199;602;21
;ΛΕΥΚΑΔΑΣ;442;423;24;96;543;-101
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;ΗΜΑΘΙΑΣ;1.203;1.049;276;505;1.830;-627
;ΘΕΣΣΑΛΟΝΙΚΗΣ;14.337;6.630;2.033;3.609;12.272;2.065
;ΚΙΛΚΙΣ;471;264;180;186;630;-159
;ΠΕΛΛΑΣ;1.632;1.483;196;1.025;2.704;-1.072
;ΠΙΕΡΙΑΣ;2.651;2.275;275;537;3.087;-436
;ΣΕΡΡΩΝ;1.134;505;158;382;1.045;89
;ΧΑΛΚΙΔΙΚΗΣ;3.805;4.739;602;1.697;7.038;-3.233
ΚΡΗΤΗΣ;ΗΡΑΚΛΕΙΟΥ;6.682;4.447;592;2.340;7.379;-697
;ΛΑΣΙΘΙΟΥ;1.715;776;118;1.063;1.957;-242
;ΡΕΘΥΜΝΟΥ;1.631;876;136;755;1.767;-136
;ΧΑΝΙΩΝ;3.349;1.853;281;1.753;3.887;-538
ΝΟΤΙΟΥ   ΑΙΓΑΙΟΥ;ΑΝΔΡΟΥ;249;227;24;45;296;-47
;ΘΗΡΑΣ;1.594;1.029;232;641;1.902;-308
;ΚΑΛΥΜΝΟΥ;248;178;61;83;322;-74
;ΚΑΡΠΑΘΟΥ;50;30;70;15;115;-65
;ΚΕΑΣ-ΚΥΘΝΟΥ;109;160;9;9;178;-69
;ΚΩ;958;777;38;397;1.212;-254
;ΜΗΛΟΥ;291;459;51;44;554;-263
;ΜΥΚΟΝΟΥ;1.000;972;168;418;1.558;-558
;ΝΑΞΟΥ;401;350;38;136;524;-123
;ΠΑΡΟΥ;650;905;159;90;1.154;-504
;ΡΟΔΟΥ;2.628;1.862;162;766;2.790;-162
;ΣΥΡΟΥ;471;345;51;176;572;-101
;ΤΗΝΟΥ;212;112;12;103;227;-15
ΠΕΛΟΠΟΝΝΗΣΟΥ;ΑΡΓΟΛΙΔΑΣ;2.570;1.256;205;371;1.832;738
;ΑΡΚΑΔΙΑΣ;1.140;825;140;300;1.265;-125
;ΚΟΡΙΝΘΙΑΣ;4.522;1.518;288;1.049;2.855;1.667
;ΛΑΚΩΝΙΑΣ;1.468;891;114;550;1.555;-87
;ΜΕΣΣΗΝΙΑΣ;2.803;1614;318;606;2.538;265
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;ΒΟΙΩΤΙΑΣ;1.245;522;203;726;1.451;-206
;ΕΥΒΟΙΑΣ;2.212;1.563;361;631;2.555;-343
;ΕΥΡΥΤΑΝΙΑΣ;100;48;17;60;125;-25
;ΦΘΙΩΤΙΔΑΣ;1.395;790;176;478;1.444;-49
;ΦΩΚΙΔΑΣ;372;330;67;139;536;-164
ΣΥΝΟΛΟ;;148.595;90.783;20.728;53.212;164.723;-16.128
;sum formulas;148.595;90.783;20.728;53.212;164.723;-16.128
